# i,scycle,rvalve,cvalve,ivalve,draws
295,18,1798,-1500,1500,0
296,18,1798,-1500,1500,0
297,18,1798,-1500,1500,0
298,18,1798,-1500,1500,0
299,18,1798,-1500,1500,0
300,18,1798,-1500,1500,0
301,18,1798,-1500,1500,0
302,18,1798,-1500,1500,0
303,19,1798,-1500,1500,0
304,19,1798,-1500,1500,0
305,19,1798,-1500,1500,13
306,19,1798,-1500,1500,0
307,19,1798,-1500,1500,0
308,19,1798,-1500,1500,0
309,19,1798,-1500,1500,0
310,19,1798,-1500,1500,0
311,19,1798,-1500,1500,0
312,19,1798,-1500,1500,0
313,19,1798,-1500,1500,0
314,19,1798,-1500,1500,0
315,19,1798,-1500,1500,0
316,19,1798,-1500,1500,0
317,19,1798,-1500,1500,0
318,19,1798,-1500,1500,0
319,20,1978,-1500,1500,0
320,20,1978,-1500,1500,0
321,20,1978,-1500,1500,22
322,20,1978,-1500,1500,0
323,20,1978,-1500,1500,0
324,20,1978,-1500,1500,0
325,20,1978,-1500,1500,0
326,20,1978,-1500,1500,0
327,20,1978,-1500,1500,0
328,20,1978,-1500,1500,0
329,20,1978,-1500,1500,0
330,20,1978,-1500,1500,0
331,20,1978,-1500,1500,0
332,20,1978,-1500,1500,0
333,20,1978,-1500,1500,0
334,20,1978,-1500,1500,0
335,21,1978,-1500,1500,0
336,21,1978,-1500,1500,0
337,21,1978,-1500,1500,11
338,21,1978,-1500,1500,0
339,21,1978,-1500,1500,0
340,21,1978,-1500,1500,0
341,21,1978,-1500,1500,0
342,21,1978,-1500,1500,0
343,21,1978,-1500,1500,0
344,21,1978,-1500,1500,0
345,21,1978,-1500,1500,0
346,21,1978,-1500,1500,0
347,21,1978,-1500,1500,0
348,21,1978,-1500,1500,0
349,21,1978,-1500,1500,0
350,21,1978,-1500,1500,0
351,22,2000,-1500,1500,0
352,22,2000,-1500,1500,0
353,22,2000,-1500,1500,20
354,22,2000,-1500,1500,0
355,22,2000,-1500,1500,0
356,22,2000,-1500,1500,0
357,22,2000,-1500,1500,0
358,22,2000,-1500,1500,0
359,22,2000,-1500,1500,0
360,22,2000,-1500,1500,0
361,22,2000,-1500,1500,0
362,22,2000,-1500,1500,0
363,22,2000,-1500,1500,0
364,22,2000,-1500,1500,0
365,22,2000,-1500,1500,0
366,22,2000,-1500,1500,0
367,23,2000,-1500,1500,0
368,23,2000,-1500,1500,0
369,23,2000,-1500,1500,14
370,23,2000,-1500,1500,0
371,23,2000,-1500,1500,0
372,23,2000,-1500,1500,0
373,23,2000,-1500,1500,0
374,23,2000,-1500,1500,0
375,23,2000,-1500,1500,0
376,23,2000,-1500,1500,0
377,23,2000,-1500,1500,0
378,23,2000,-1500,1500,0
379,23,2000,-1500,1500,0
380,23,2000,-1500,1500,0
381,23,2000,-1500,1500,0
382,23,2000,-1500,1500,0
383,24,2000,-1500,1500,0
384,24,2000,-1500,1500,0
385,24,2000,-1500,1500,48
386,24,2000,-1500,1500,0
387,24,2000,-1500,1500,0
388,24,2000,-1500,1500,0
389,24,2000,-1500,1500,0
390,24,2000,-1500,1500,0
391,24,2000,-1500,1500,0
392,24,2000,-1500,1500,0
393,24,2000,-1500,1500,0
394,24,2000,-1500,1500,0
395,24,2000,-1500,1500,0
396,24,2000,-1500,1500,0
397,24,2000,-1500,1500,0
398,24,2000,-1500,1500,0
399,25,2000,-1500,1500,0
400,25,2000,-1500,1500,0
401,25,2000,-1500,1500,16
402,25,2000,-1500,1500,0
403,25,2000,-1500,1500,0
404,25,2000,-1500,1500,0
405,25,2000,-1500,1500,0
406,25,2000,-1500,1500,0
407,25,2000,-1500,1500,0
408,25,2000,-1500,1500,0
409,25,2000,-1500,1500,0
410,25,2000,-1500,1500,0
411,25,2000,-1500,1500,0
412,25,2000,-1500,1500,0
413,25,2000,-1500,1500,0
414,25,2000,-1500,1500,0
415,26,1412,-1500,1500,0
416,26,1412,-1500,1500,0
417,26,1412,-1500,1500,6
418,26,1412,-1500,1500,0
419,26,1412,-1500,1500,0
420,26,1412,-1500,1500,0
421,26,1412,-1500,1500,0
422,26,1412,-1500,1500,0
423,26,1412,-1500,1500,0
424,26,1412,-1500,1500,0
425,26,1412,-1500,1500,0
426,26,1412,-1500,1500,0
427,26,1412,-1500,1500,0
428,26,1412,-1500,1500,0
429,26,1412,-1500,1500,0
430,26,1412,-1500,1500,0
431,27,1412,-1500,1500,0
432,27,1412,-1500,1500,0
